OneYear,SciCont,SciExpert,EnePrior,IncRel,CliImp,MedProf,ClinTrials,USHelp,COVFED_NonBin,COVED_Bin,CovidThreat,SocDist,Vaccine,VacToday,Female,PolLean,Feature
1,0,0,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,1,2,0,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
0,0,1,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1
0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
0,0,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,1,1,0,1,1,1,0,2,0,1,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,0,3,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1
0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0
0,0,1,0,1,1,1,1,0,3,1,1,1,1,1,0,0,1
0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,1,0,0,0,1,0,1,2,0,0,1,1,1,0,0,0
0,1,1,1,1,1,1,1,1,4,1,0,1,0,1,1,1,1
0,0,1,1,0,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,1,1,1,1,1,1,0,4,1,0,1,1,1,0,1,1
1,0,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
0,0,1,0,0,1,1,1,0,4,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,4,1,0,1,1,1,0,1,1
0,1,1,1,1,1,1,1,0,4,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,1,0,3,1,0,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,4,1,0,1,0,1,0,1,1
0,0,1,1,1,1,1,1,1,4,1,0,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,1,1,1,1,1,1,1,4,1,0,1,0,1,1,1,1
0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,4,1,1,1,1,1,1,0,1
0,1,1,1,0,1,1,1,1,2,0,0,1,1,1,0,0,0
0,0,1,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1
0,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,0,0,0,1,1,1,1,0,3,1,0,1,0,1,0,0,1
1,0,1,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,0,4,1,1,1,0,1,1,1,1
0,0,1,1,0,1,1,1,0,4,1,1,1,1,1,0,1,1
0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,4,1,1,1,1,1,0,1,1
1,1,0,1,1,1,0,1,1,4,1,1,1,1,1,0,1,1
0,1,0,1,1,1,1,1,0,2,0,0,1,1,1,0,0,0
0,1,1,1,1,0,1,1,0,2,0,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
1,0,0,1,1,1,1,1,0,4,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,0,4,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,4,1,1,1,1,1,0,1,1
0,0,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
0,0,0,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
1,0,0,1,1,1,1,0,0,4,1,0,1,0,1,0,1,1
0,0,1,1,0,1,1,1,1,4,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
0,0,0,1,0,1,1,1,0,2,0,1,1,1,1,0,0,0
0,0,0,1,0,0,1,1,0,3,1,0,1,1,1,0,0,1
0,0,0,1,1,1,1,1,0,4,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,4,1,1,1,0,1,0,0,1
0,1,0,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,1,0,0,1,0,1,0,4,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1
0,1,0,1,1,0,1,1,0,3,1,0,1,1,1,0,0,1
0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0
0,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1
0,0,1,1,1,1,1,1,0,4,1,1,1,0,1,0,1,1
0,0,0,0,1,1,1,1,0,4,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
1,0,0,1,0,1,0,1,0,4,1,1,1,1,1,1,0,1
0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1
0,1,0,1,0,1,1,1,1,2,0,0,1,0,1,0,0,0
0,0,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1
0,0,1,1,1,1,1,1,0,4,1,1,1,1,1,1,0,1
0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1
0,0,0,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
0,0,1,1,1,1,1,1,1,3,1,0,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,4,1,0,1,1,1,0,1,1
0,0,1,1,0,1,1,1,1,4,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
0,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,4,1,0,1,1,1,0,1,1
0,0,1,1,1,1,1,1,0,4,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,1,0,3,1,1,1,0,1,0,0,1
0,1,1,1,0,1,1,1,1,4,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,2,0,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1
0,1,0,1,0,1,1,1,1,2,0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,1,0,2,0,0,1,1,1,0,0,0
1,0,1,1,1,1,1,1,1,4,1,1,1,0,1,0,1,1
0,1,0,0,1,1,0,1,0,4,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
0,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1
